time,Channel A Last (V),Channel B Last (V)
1681199921,1.037,0.119
1681199921,1.037,0.123
1681199921,1.036,0.117
1681199921,1.036,0.121
1681199921,1.033,0.122
1681199921,1.037,0.111
1681199922,1.038,0.128
1681199922,1.038,0.114
1681199922,1.039,0.125
1681199922,1.035,0.124
1681199922,1.04,0.125
1681199922,1.039,0.122
1681199922,1.036,0.122
1681199922,1.036,0.125
1681199922,1.035,0.125
1681199922,1.035,0.125
1681199922,1.037,0.123
1681199922,1.035,0.126
1681199922,1.033,0.123
1681199922,1.04,0.121
1681199922,1.036,0.122
1681199922,1.036,0.124
1681199922,1.039,0.124
1681199922,1.036,0.122
1681199922,1.036,0.121
1681199922,1.036,0.126
1681199923,1.036,0.125
1681199923,1.037,0.121
1681199923,1.037,0.123
1681199923,1.039,0.122
1681199923,1.038,0.13
1681199923,1.039,0.122
1681199923,1.038,0.123
1681199923,1.038,0.113
1681199923,1.042,0.116
1681199923,1.033,0.114
1681199923,1.034,0.12
1681199923,1.038,0.127
1681199923,1.039,0.12
1681199923,1.036,0.124
1681199923,1.038,0.127
1681199923,1.038,0.126
1681199923,1.036,0.117
1681199923,1.036,0.121
1681199923,1.035,0.117
1681199923,1.04,0.127
1681199924,1.036,0.117
1681199924,1.036,0.119
1681199924,1.035,0.123
1681199924,1.037,0.12
1681199924,1.035,0.118
1681199924,1.037,0.12
1681199924,1.04,0.115
1681199924,1.036,0.116
1681199924,1.033,0.127
1681199924,1.036,0.129
1681199924,1.039,0.117
1681199924,1.036,0.134
1681199924,1.037,0.123
1681199924,1.036,0.121
1681199924,1.036,0.122
1681199924,1.037,0.125
1681199924,1.038,0.12
1681199924,1.037,0.118
1681199924,1.035,0.124
1681199924,1.035,0.122
1681199925,1.034,0.126
1681199925,1.035,0.125
1681199925,1.039,0.115
1681199925,1.037,0.122
1681199925,1.035,0.132
1681199925,1.036,0.118
1681199925,1.036,0.126
1681199925,1.039,0.129
1681199925,1.036,0.124
1681199925,1.036,0.118
1681199925,1.037,0.125
1681199925,1.039,0.126
1681199925,1.041,0.122
1681199925,1.035,0.117
1681199925,1.034,0.124
1681199925,1.038,0.12
1681199925,1.041,0.118
1681199925,1.037,0.117
1681199925,1.037,0.127
1681199925,1.036,0.124
1681199926,1.037,0.119
1681199926,1.039,0.132
1681199926,1.035,0.133
1681199926,1.036,0.123
1681199926,1.036,0.118
1681199926,1.036,0.127
1681199926,1.035,0.118
1681199926,1.037,0.124
1681199926,1.036,0.117
1681199926,1.04,0.127
1681199926,1.037,0.12
1681199926,1.038,0.12
1681199926,1.036,0.126
1681199926,1.041,0.128
1681199926,1.042,0.122
1681199926,1.038,0.127
1681199926,1.035,0.118
1681199926,1.035,0.129
1681199926,1.04,0.123
1681199926,1.037,0.114
1681199927,1.036,0.121
1681199927,1.036,0.119
1681199927,1.038,0.117
1681199927,1.036,0.121
1681199927,1.034,0.118
1681199927,1.032,0.111
1681199927,1.038,0.128
1681199927,1.037,0.125
1681199927,1.034,0.126
1681199927,1.037,0.12
1681199927,1.034,0.122
1681199927,1.036,0.124
1681199927,1.036,0.115
1681199927,1.034,0.12
1681199927,1.037,0.125
1681199927,1.037,0.129
1681199927,1.034,0.121
1681199927,1.039,0.127
1681199927,1.037,0.125
1681199927,1.037,0.115
1681199928,1.036,0.118
1681199928,1.038,0.122
1681199928,1.037,0.13
1681199928,1.039,0.124
1681199928,1.038,0.119
1681199928,1.033,0.133
1681199928,1.037,0.113
1681199928,1.039,0.122
1681199928,1.036,0.12
1681199928,1.032,0.12
1681199928,1.036,0.121
1681199928,1.036,0.121
1681199928,1.036,0.118
1681199928,1.036,0.127
1681199928,1.036,0.123
1681199928,1.038,0.12
1681199928,1.038,0.134
1681199928,1.036,0.116
1681199928,1.033,0.123
1681199928,1.039,0.116
