Time,Channel A Last (V),Channel B Last (V)
1681203310,0.996,0.07
1681203310,0.999,0.049
1681203310,0.995,0.02
1681203311,0.995,0.063
1681203311,0.998,0.064
1681203311,1,0.1
1681203311,1.003,0.072
1681203311,0.999,0.053
1681203311,1.004,0.114
1681203311,0.996,0.047
1681203311,0.998,0.08
1681203311,1.001,0.058
1681203311,0.999,0.071
1681203311,1,0.084
1681203311,0.997,0.025
1681203311,1.001,0.074
1681203311,0.998,0.035
1681203311,0.998,0.063
1681203311,1.001,0.049
1681203311,0.999,0.053
1681203311,1.001,0.017
1681203311,1.001,0.039
1681203311,1,0.052
1681203312,0.996,0.055
1681203312,0.997,0.051
1681203312,0.999,0.07
1681203312,0.997,0.049
1681203312,0.997,0.089
1681203312,0.998,0.043
1681203312,1,0.071
1681203312,0.999,0.083
1681203312,1.001,0.064
1681203312,0.998,0.059
1681203312,0.999,0.028
1681203312,1.001,0.05
1681203312,0.998,0.046
1681203312,1.001,0.103
1681203312,0.998,0.055
1681203312,1,0.073
1681203312,0.998,0.068
1681203312,0.999,0.062
1681203312,0.996,0.045
1681203312,0.997,0.038
1681203313,0.998,0.057
1681203313,0.999,0.092
1681203313,1.001,0.092
1681203313,1.001,0.065
1681203313,1.001,0.034
1681203313,1,0.044
1681203313,1,0.071
1681203313,0.995,-0.028
1681203313,0.998,0.104
1681203313,0.997,0.036
1681203313,1.002,0.096
1681203313,1.004,0.158
1681203313,1.001,0.045
1681203313,1,0.069
1681203313,0.996,0.057
1681203313,0.996,0.032
1681203313,1.003,0.073
1681203313,1.001,0.076
1681203313,0.999,0.039
1681203313,1.001,0.082
1681203314,1.005,0.087
1681203314,0.998,0.055
1681203314,0.997,0.018
1681203314,0.999,0.101
1681203314,1.002,0.095
1681203314,1.001,0.075
1681203314,1.001,0.089
1681203314,1.001,0.06
1681203314,0.998,0.024
1681203314,1,0.056
1681203314,0.998,0.018
1681203314,1,0.074
1681203314,1.001,0.066
1681203314,0.999,0.076
1681203314,1.001,0.071
1681203314,0.999,0.043
1681203314,1.001,0.037
1681203314,1.002,0.093
1681203314,0.996,0.025
1681203314,0.997,0.035
1681203315,0.998,0.03
1681203315,0.998,-0.014
1681203315,0.998,0.033
1681203315,1.001,0.05
1681203315,0.999,0.063
1681203315,1.002,0.093
1681203315,0.999,0.049
1681203315,0.999,0.08
