Detec n° ;Filter n° ;Data n°  ;Prototype ;Sick ;Antenna ;Ratio 
4;9;2;17567;11684;11684;150.35091
4;1;1;5620;4615;4615;121.77681
4;1;2;17567;11684;11684;150.35091
4;2;1;5620;4615;4615;121.77681
4;2;2;17567;11684;11684;150.35091
4;3;1;5620;4615;4615;121.77681
4;3;2;17567;11684;11684;150.35091
4;4;1;5620;4615;4615;121.77681
4;4;2;17567;11684;11684;150.35091
4;5;1;5620;4615;4615;121.77681
4;5;2;17567;11684;11684;150.35091
4;6;1;5620;4615;4615;121.77681
4;6;2;17567;11684;11684;150.35091
4;7;1;5620;4615;4615;121.77681
4;7;2;17567;11684;11684;150.35091
4;8;1;5620;4615;4615;121.77681
4;8;2;17567;11684;11684;150.35091
4;9;1;5620;4615;4615;121.77681
4;9;2;17567;11684;11684;150.35091
4;1;1;5620;4615;4615;121.77681
4;1;2;17567;11684;11684;150.35091
4;2;1;5620;4615;4615;121.77681
4;2;2;17567;11684;11684;150.35091
4;3;1;5620;4615;4615;121.77681
4;3;2;17567;11684;11684;150.35091
4;4;1;5620;4615;4615;121.77681
4;4;2;17567;11684;11684;150.35091
4;5;1;5620;4615;4615;121.77681
4;5;2;17567;11684;11684;150.35091
4;6;1;5620;4615;4615;121.77681
4;6;2;17567;11684;11684;150.35091
4;7;1;5620;4615;4615;121.77681
4;7;2;17567;11684;11684;150.35091
4;8;1;5620;4615;4615;121.77681
4;8;2;17567;11684;11684;150.35091
4;9;1;5620;4615;4615;121.77681
4;9;2;17567;11684;11684;150.35091
5;1;1;0;305;0;Nan
5;1;2;0;758;0;Nan
5;2;1;0;305;0;Nan
5;2;2;0;758;0;Nan
5;3;1;0;305;0;Nan
5;3;2;2;758;0;Inf
5;4;1;0;305;0;Nan
5;4;2;24;758;0;Inf
5;5;1;6;305;0;Inf
5;5;2;14;758;0;Inf
5;6;1;0;305;0;Nan
5;6;2;23;758;0;Inf
5;7;1;0;305;0;Nan
5;7;2;0;758;0;Nan
5;8;1;3;305;0;Inf
5;8;2;6;758;0;Inf
5;9;1;0;305;0;Nan
5;9;2;0;758;0;Nan
5;1;1;0;305;0;Nan
5;1;2;0;758;0;Nan
5;2;1;0;305;0;Nan
5;2;2;0;758;0;Nan
5;3;1;1;305;0;Inf
5;3;2;2;758;0;Inf
5;4;1;3;305;0;Inf
5;4;2;24;758;0;Inf
5;5;1;3;305;0;Inf
5;5;2;14;758;0;Inf
5;6;1;6;305;0;Inf
5;6;2;23;758;0;Inf
5;7;1;0;305;0;Nan
5;7;2;0;758;0;Nan
5;8;1;2;305;0;Inf
5;8;2;6;758;0;Inf
5;9;1;4;305;0;Inf
5;9;2;0;758;0;Nan
5;1;1;0;305;0;Nan
5;1;2;0;758;0;Nan
5;2;1;0;305;0;Nan
5;2;2;0;758;0;Nan
5;3;1;0;305;0;Nan
5;3;2;0;758;0;Nan
5;4;1;0;305;0;Nan
5;4;2;8;758;0;Inf
5;5;1;0;305;0;Nan
5;5;2;0;758;0;Nan
5;6;1;0;305;0;Nan
5;6;2;14;758;0;Inf
5;7;1;0;305;0;Nan
5;7;2;0;758;0;Nan
5;8;1;0;305;0;Nan
5;8;2;0;758;0;Nan
5;9;1;0;305;0;Nan
5;9;2;0;758;0;Nan
5;1;1;0;305;0;Nan
5;1;2;0;758;0;Nan
5;2;1;0;305;0;Nan
5;2;2;0;758;0;Nan
5;3;1;1;305;0;Inf
5;3;2;0;758;0;Nan
5;4;1;0;305;0;Nan
5;4;2;13;758;0;Inf
5;5;1;1;305;0;Inf
5;5;2;0;758;0;Nan
5;6;1;0;305;0;Nan
5;6;2;18;758;0;Inf
5;7;1;0;305;0;Nan
5;7;2;0;758;0;Nan
5;8;1;0;305;0;Nan
5;8;2;0;758;0;Nan
5;9;1;0;305;0;Nan
5;9;2;0;758;0;Nan
5;1;1;0;305;0;Nan
5;1;2;0;758;0;Nan
5;2;1;0;305;0;Nan
5;2;2;0;758;0;Nan
5;3;1;0;305;0;Nan
5;3;2;2;758;0;Inf
5;4;1;0;305;0;Nan
5;4;2;24;758;0;Inf
5;5;1;4;305;0;Inf
5;5;2;14;758;0;Inf
5;6;1;0;305;0;Nan
5;6;2;23;758;0;Inf
5;7;1;0;305;0;Nan
5;7;2;0;758;0;Nan
5;8;1;3;305;0;Inf
5;8;2;6;758;0;Inf
5;9;1;0;305;0;Nan
5;9;2;0;758;0;Nan


