Temps,Channel A Last (V),Channel B Last (V)
1670856958,1.015,0.079
1670856958,1.015,0.064
1670856958,1.017,0.078
1670856958,1.013,0.081
1670856958,1.012,0.093
1670856958,1.016,0.092
1670856958,1.013,0.074
1670856959,1.01,0.075
1670856959,1.013,0.1
1670856959,1.014,0.084
1670856959,1.018,0.123
1670856959,1.016,0.111
1670856959,1.016,0.091
1670856959,1.015,0.08
1670856959,1.013,0.092
1670856959,1.014,0.093
1670856959,1.016,0.08
1670856959,1.022,0.055
1670856959,1.016,0.097
1670856959,1.016,0.091
1670856959,1.015,0.098
1670856959,1.014,0.089
1670856959,1.013,0.092
1670856959,1.013,0.085
1670856959,1.016,0.097
1670856959,1.014,0.095
1670856959,1.014,0.096
1670856960,1.014,0.088
1670856960,1.017,0.091
1670856960,1.012,0.089
1670856960,1.014,0.088
1670856960,1.014,0.092
1670856960,1.015,0.095
1670856960,1.013,0.089
1670856960,1.011,0.088
1670856960,1.015,0.093
1670856960,1.015,0.097
1670856960,1.013,0.092
1670856960,1.015,0.085
1670856960,1.017,0.085
1670856960,1.015,0.091
1670856960,1.017,0.092
1670856960,1.014,0.095
1670856960,1.015,0.09
1670856960,1.013,0.089
1670856960,1.013,0.094
1670856960,1.015,0.099
1670856961,1.015,0.089
1670856961,1.016,0.093
1670856961,1.015,0.078
1670856961,1.016,0.096
1670856961,1.018,0.095
1670856961,1.014,0.092
1670856961,1.016,0.093
1670856961,1.016,0.097
1670856961,1.017,0.088
1670856961,1.015,0.092
1670856961,1.016,0.09
1670856961,1.014,0.097
1670856961,1.016,0.094
1670856961,1.016,0.088
1670856961,1.012,0.091
1670856961,1.019,0.09
1670856961,1.016,0.1
1670856961,1.017,0.093
1670856961,1.014,0.097
1670856961,1.016,0.098
1670856962,1.017,0.086
1670856962,1.017,0.091
1670856962,1.014,0.087
1670856962,1.014,0.096
1670856962,1.017,0.103
1670856962,1.015,0.093
1670856962,1.018,0.088
1670856962,1.015,0.093
1670856962,1.016,0.091
1670856962,1.011,0.096
1670856962,1.013,0.091
1670856962,1.015,0.096
1670856962,1.014,0.099
1670856962,1.014,0.099
1670856962,1.015,0.093
1670856962,1.015,0.091
1670856962,1.015,0.095
1670856962,1.014,0.09
1670856962,1.013,0.093
1670856962,1.014,0.088
1670856963,1.017,0.086
1670856963,1.012,0.092
1670856963,1.014,0.095
1670856963,1.012,0.088
1670856963,1.015,0.088
1670856963,1.015,0.092
1670856963,1.019,0.095
1670856963,1.014,0.081
1670856963,1.016,0.094
1670856963,1.016,0.093
1670856963,1.015,0.096
1670856963,1.018,0.089
1670856963,1.017,0.087
1670856963,1.013,0.094
1670856963,1.017,0.09
1670856963,1.015,0.086
1670856963,1.015,0.094
1670856963,1.016,0.091
1670856963,1.017,0.103
1670856963,1.017,0.088
1670856964,1.014,0.091
1670856964,1.015,0.092
1670856964,1.014,0.089
1670856964,1.013,0.073
1670856964,1.018,0.125
1670856964,1.013,0.065
1670856964,1.019,0.17
1670856964,1.014,0.085
1670856964,1.012,0.103
1670856964,1.016,0.084
1670856964,1.018,0.109
1670856964,1.019,0.079
1670856964,1.014,0.107
1670856964,1.016,0.094
1670856964,1.015,0.098
1670856964,1.015,0.093
1670856964,1.011,0.09
1670856964,1.015,0.09
1670856964,1.013,0.093
1670856964,1.018,0.1
1670856965,1.014,0.108
1670856965,1.015,0.091
1670856965,1.019,0.092
1670856965,1.017,0.098
1670856965,1.014,0.094
1670856965,1.016,0.098
1670856965,1.013,0.098
1670856965,1.014,0.087
1670856965,1.016,0.1
1670856965,1.015,0.086
1670856965,1.016,0.102
1670856965,1.015,0.09
1670856965,1.014,0.084
1670856965,1.016,0.102
1670856965,1.016,0.097
1670856965,1.013,0.089
1670856965,1.018,0.086
1670856965,1.015,0.092
1670856965,1.016,0.088
1670856965,1.013,0.093
1670856966,1.012,0.094
1670856966,1.02,0.091
1670856966,1.015,0.094
1670856966,1.015,0.093
1670856966,1.014,0.09
1670856966,1.016,0.084
1670856966,1.016,0.09
1670856966,1.015,0.1
1670856966,1.011,0.106
1670856966,1.012,0.093
1670856966,1.012,0.093
1670856966,1.013,0.091
1670856966,1.015,0.09
1670856966,1.015,0.083
1670856966,1.014,0.096
1670856966,1.016,0.099
1670856966,1.018,0.086
1670856966,1.014,0.093
1670856966,1.015,0.092
1670856966,1.013,0.095
1670856967,1.016,0.085
1670856967,1.014,0.088
1670856967,1.014,0.083
1670856967,1.015,0.092
1670856967,1.015,0.086
1670856967,1.015,0.094
1670856967,1.014,0.091
1670856967,1.016,0.086
1670856967,1.016,0.098
